45040	47480
51072	57607
99726	100441
309482	312210
417349	418882
420056	422067
436867	438748
503229	506014
567691	568797
614767	624543
812141	813708
851656	856210
893863	897379
917624	919417
923888	925148
958961	960179
965580	966959
968406	970523
986003	988667
988737	991137
1023701	1024786
1039697	1040564
1042969	1044025
1059660	1060803
1070640	1071490
1108841	1110992
1233244	1244035
1255937	1258353
1484094	1485951
1547060	1549952
1550712	1551804
1568667	1573300
1570082	1571134
1616912	1619004
1649141	1650174
1650819	1651580
1652460	1653497
1655217	1656148
1682533	1683579
1704904	1706500
1710259	1711417
1722778	1724179
1724655	1727106
1732276	1733291
1749984	1751597
1846984	1848154
1851244	1852657
1860628	1861080
1862634	1863782
1912450	1912841
1920016	1921104
1921448	1922744
1926460	1927347
1944058	1947911
1948693	1949894
1963063	1967936
1979245	1984118
1987285	1990667
2003377	2008250
2019654	2022441
2022673	2023614
2025642	2026610
2027624	2028812
2030750	2031944
2032569	2033226
2035702	2039386
2040271	2041615
2044624	2045585
2045963	2046656
2064462	2065870
2076156	2080526
2086719	2090618
2136532	2137300
2148806	2150310
2150552	2151290
2182503	2186433
2233540	2243533
2243651	2254369
2294656	2296103
2297847	2298793
2481921	2485922
2525220	2529244
2594052	2598903
2647694	2649639
2705921	2707982
2762417	2764015
2771082	2772266
2871377	2871914
2875101	2876765
2889104	2894395
2913711	2919314
2923917	2926951
2976639	2986981
3052596	3054348
3109371	3111227
3206020	3206541
3206939	3207388
3209478	3211376
3230817	3234813
3276256	3277305
3324021	3326431
3342334	3343553
3343684	3344967
3345280	3346371
3347574	3349870
3350250	3358981
3359139	3360255
3360221	3361414
3371310	3372145
3375143	3376714
3381836	3384020
3446957	3448020
3453764	3454680
3603387	3607384
3607937	3609861
3677535	3681415
3717138	3719767
3725906	3727459
3749069	3750719
3778406	3779555
3898142	3899709
3949400	3951343
4044771	4047247
4171294	4173875
4194833	4204147
4231383	4234620
4320674	4321624
4372740	4376742
4420255	4422314
4441094	4453151
4522462	4523222
4523615	4524592
4678026	4679638
4948154	4949486
5069764	5071365
5179038	5187569
5230081	5230501
5342672	5344877
5373997	5375178
5416714	5418447
5478578	5480492
5519217	5520200
5566082	5566692
5567786	5568396
5596547	5598450
5626589	5629575
5659937	5660786
5666755	5668930
5691721	5693935
5911324	5916911
5917422	5918319
6088667	6091480
6186973	6187355
6245131	6246257
6265650	6267623
6299527	6301419
6356416	6359005
6366991	6369210
6500396	6501518
6631154	6637099
6799119	6800144
6848060	6851527
6912542	6913365
6967904	6970585
6979951	6988629
7022927	7024930
7073796	7075551
7089650	7092274
7122242	7124401
7155631	7160938
7350119	7352636
7366591	7368846
7446672	7448542
7456242	7457330
7724903	7752726
7790560	7791378
7842417	7845644
7854759	7855719
8012816	8015254
8066111	8068184
8105614	8106967
8108941	8112163
8305744	8321471
8485938	8487563
8520911	8523471
8525685	8526806
8869565	8874020
8997024	8997664
9575971	9581469
9669324	9671499
9706496	9708885
9750413	9752324
9768451	9769847
9839191	9842036
10041134	10042515
10395707	10396785
10450658	10452003
10452920	10455199
10537799	10539332
10572263	10574070
10579955	10581044
10738647	10775061
10923716	10924654
10951604	10953165
11050260	11058046
11095045	11096475
11108159	11109583
11171446	11175479
11237445	11239092
11306399	11311940
11442725	11444009
11588464	11592060
11681825	11682844
11696171	11705359
11698317	11700300
11774144	11774559
11812296	11814108
11814839	11816575
11818233	11819848
11953239	11960741
11960989	11962091
12251737	12256628
12289405	12300560
12440132	12441264
12459772	12460549
12520212	12524478
12623189	12623952
12629712	12631995
12755158	12756195
12804862	12810874
12943862	12948143
13046367	13047287
13047941	13050803
13157335	13160428
13245430	13247774
13249093	13249895
13260495	13261201
13279773	13285817
13460991	13469602
13472431	13473923
13622965	13624433
13641562	13643823
13908925	13915253
13973690	13976221
14060739	14062623
14142993	14143845
14214409	14217139
14226377	14234120
14276651	14283977
14362019	14365179
14434452	14438977
14581465	14582360
14734410	14739243
14752887	14753894
14959376	14964110
14968637	14969354
14980930	14984009
14988306	14992667
15004865	15010416
15010792	15013408
15019223	15025768
15051615	15055718
15058227	15062057
